group_id,id,geo_name,geo,year,private_area_size,building_type,trd_unit_price,rent_y_unit_price,rent_m_unit_price
"04000KR11","05000KR11230","동대문구","05000KR11230","2018","A","ALLIANCE",1930.5743446,1251.53854773,8.31704187
"04000KR11","05000KR11260","중랑구","05000KR11260","2011","A","ALLIANCE",1156.54473482,674.55483181,5.79917695
"04000KR11","05000KR11260","중랑구","05000KR11260","2012","A","ALLIANCE",1174.99132031,740.18228282,6.48219064
"04000KR11","05000KR11260","중랑구","05000KR11260","2013","A","ALLIANCE",1165.75221538,777.73131998,6.62676545
"04000KR11","05000KR11260","중랑구","05000KR11260","2014","A","ALLIANCE",1170.58772557,866.35032451,6.9991595
"04000KR11","05000KR11260","중랑구","05000KR11260","2015","A","ALLIANCE",1225.0361531,974.19770161,7.39552022
"04000KR11","05000KR11260","중랑구","05000KR11260","2016","A","ALLIANCE",1342.91774296,1147.7491826,8.06123523
"04000KR11","05000KR11260","중랑구","05000KR11260","2017","A","ALLIANCE",1396.29656293,1270.30288135,8.06338671
"04000KR11","05000KR11260","중랑구","05000KR11260","2018","A","ALLIANCE",1466.82302535,1394.60455949,8.00602513
"04000KR11","05000KR11290","성북구","05000KR11290","2011","A","ALLIANCE",1147.86542369,572.13832765,5.08602577
"04000KR11","05000KR11290","성북구","05000KR11290","2012","A","ALLIANCE",1039.86953785,621.46870696,5.87832245
"04000KR11","05000KR11290","성북구","05000KR11290","2013","A","ALLIANCE",1064.55268083,665.86589733,6.31308067
"04000KR11","05000KR11290","성북구","05000KR11290","2014","A","ALLIANCE",1051.79888172,710.82999581,6.76284392
"04000KR11","05000KR11290","성북구","05000KR11290","2015","A","ALLIANCE",1182.95364088,787.48438852,6.7546742
"04000KR11","05000KR11290","성북구","05000KR11290","2016","A","ALLIANCE",1237.21439618,908.74134019,7.40394804
"04000KR11","05000KR11290","성북구","05000KR11290","2017","A","ALLIANCE",1353.546909,1040.99789289,7.92783812
"04000KR11","05000KR11290","성북구","05000KR11290","2018","A","ALLIANCE",1472.63103693,1141.96678569,8.29389566
"04000KR11","05000KR11305","강북구","05000KR11305","2011","A","ALLIANCE",992.45626709,534.36207133,4.58020196
"04000KR11","05000KR11305","강북구","05000KR11305","2012","A","ALLIANCE",958.1387782,572.27301931,4.87994809
"04000KR11","05000KR11305","강북구","05000KR11305","2013","A","ALLIANCE",949.41000264,599.89182142,4.87062663
"04000KR11","05000KR11305","강북구","05000KR11305","2014","A","ALLIANCE",954.85922442,620.9892089,4.97429685
"04000KR11","05000KR11305","강북구","05000KR11305","2015","A","ALLIANCE",992.11462295,688.30280031,5.27558974
"04000KR11","05000KR11305","강북구","05000KR11305","2016","A","ALLIANCE",1065.95463371,812.61168509,5.53987088
"04000KR11","05000KR11305","강북구","05000KR11305","2017","A","ALLIANCE",1106.04491397,911.12938074,5.93105972
"04000KR11","05000KR11305","강북구","05000KR11305","2018","A","ALLIANCE",1152.7051221,968.20406671,5.89802025
"04000KR11","05000KR11320","도봉구","05000KR11320","2011","A","ALLIANCE",957.08102563,535.59985673,4.50666625
"04000KR11","05000KR11320","도봉구","05000KR11320","2012","A","ALLIANCE",950.94962655,582.77670426,4.78967286
"04000KR11","05000KR11320","도봉구","05000KR11320","2013","A","ALLIANCE",914.99094769,614.35078083,4.78029226
"04000KR11","05000KR11320","도봉구","05000KR11320","2014","A","ALLIANCE",921.95884161,637.92282811,5.02875977
"04000KR11","05000KR11320","도봉구","05000KR11320","2015","A","ALLIANCE",957.07837764,707.36436531,5.15719536
"04000KR11","05000KR11320","도봉구","05000KR11320","2016","A","ALLIANCE",988.79581139,787.93671466,5.47133819
"04000KR11","05000KR11320","도봉구","05000KR11320","2017","A","ALLIANCE",1039.24894336,894.0565482,5.54202292
"04000KR11","05000KR11320","도봉구","05000KR11320","2018","A","ALLIANCE",1059.79171131,952.67054009,5.35748924
"04000KR11","05000KR11350","노원구","05000KR11350","2011","A","ALLIANCE",1044.32602005,587.31641396,5.27176719
"04000KR11","05000KR11350","노원구","05000KR11350","2012","A","ALLIANCE",995.72626594,649.42967008,6.33503871
"04000KR11","05000KR11350","노원구","05000KR11350","2013","A","ALLIANCE",1001.94453621,701.01681638,6.89573689
"04000KR11","05000KR11350","노원구","05000KR11350","2014","A","ALLIANCE",983.57330347,735.92975192,6.79933144
"04000KR11","05000KR11350","노원구","05000KR11350","2015","A","ALLIANCE",1029.92262184,809.16112824,7.00628747
"04000KR11","05000KR11350","노원구","05000KR11350","2016","A","ALLIANCE",1065.58062086,885.36710704,7.31737218
"04000KR11","05000KR11350","노원구","05000KR11350","2017","A","ALLIANCE",1132.70588752,911.97921656,7.50823894
"04000KR11","05000KR11350","노원구","05000KR11350","2018","A","ALLIANCE",1205.37059608,936.26394421,7.50362826
"04000KR11","05000KR11380","은평구","05000KR11380","2011","A","ALLIANCE",1044.45596895,569.67065746,4.76821529
"04000KR11","05000KR11380","은평구","05000KR11380","2012","A","ALLIANCE",1002.85609573,617.22532026,5.1355473
"04000KR11","05000KR11380","은평구","05000KR11380","2013","A","ALLIANCE",978.61198398,663.42453603,5.17316158
"04000KR11","05000KR11380","은평구","05000KR11380","2014","A","ALLIANCE",996.20823604,708.79604138,5.52268693
"04000KR11","05000KR11380","은평구","05000KR11380","2015","A","ALLIANCE",1068.42511079,798.96114031,5.81801494
"04000KR11","05000KR11380","은평구","05000KR11380","2016","A","ALLIANCE",1170.36568422,962.40089109,6.44574317
"04000KR11","05000KR11380","은평구","05000KR11380","2017","A","ALLIANCE",1297.41150464,1059.24785595,6.79507357
