,group_id,id,geo_name,region_id,geo,year,private_area_size,building_type,trd_unit_price,rent_y_unit_price,rent_m_unit_price
48,04000KR11,05000KR11260,중랑구,11070,05000KR11260,2011,A,APT,1323.35891647,744.65987782,6.04281795
49,04000KR11,05000KR11260,중랑구,11070,05000KR11260,2012,A,APT,1292.18598982,801.69030379,6.46022344
50,04000KR11,05000KR11260,중랑구,11070,05000KR11260,2013,A,APT,1287.31540478,854.87770691,6.70104821
51,04000KR11,05000KR11260,중랑구,11070,05000KR11260,2014,A,APT,1296.96232585,927.93616201,7.06847303
52,04000KR11,05000KR11260,중랑구,11070,05000KR11260,2015,A,APT,1364.98300828,1050.3041027,7.86332062
53,04000KR11,05000KR11260,중랑구,11070,05000KR11260,2016,A,APT,1442.4562741,1137.38741124,8.07132897
54,04000KR11,05000KR11260,중랑구,11070,05000KR11260,2017,A,APT,1534.17541237,1239.88996703,8.16830725
55,04000KR11,05000KR11260,중랑구,11070,05000KR11260,2018,A,APT,1653.76578935,1252.74952008,8.13539773
56,04000KR11,05000KR11290,성북구,11080,05000KR11290,2011,A,APT,1462.12262864,800.93574515,6.39581596
57,04000KR11,05000KR11290,성북구,11080,05000KR11290,2012,A,APT,1391.49412909,855.29777295,6.6283385
58,04000KR11,05000KR11290,성북구,11080,05000KR11290,2013,A,APT,1387.45309156,924.49021467,6.9847555
59,04000KR11,05000KR11290,성북구,11080,05000KR11290,2014,A,APT,1433.00078983,1012.97134651,7.3802604
60,04000KR11,05000KR11290,성북구,11080,05000KR11290,2015,A,APT,1536.148464,1166.16262341,8.13812907
61,04000KR11,05000KR11290,성북구,11080,05000KR11290,2016,A,APT,1652.80387131,1290.53530082,9.08947523
62,04000KR11,05000KR11290,성북구,11080,05000KR11290,2017,A,APT,1762.93922048,1368.30244618,8.86085
63,04000KR11,05000KR11290,성북구,11080,05000KR11290,2018,A,APT,1965.20971633,1504.43114812,9.359876
64,04000KR11,05000KR11305,강북구,11090,05000KR11305,2011,A,APT,1273.23669237,667.65304603,5.66174366
65,04000KR11,05000KR11305,강북구,11090,05000KR11305,2012,A,APT,1235.92499903,732.85460635,5.81400405
66,04000KR11,05000KR11305,강북구,11090,05000KR11305,2013,A,APT,1220.92849224,782.26536279,6.14185432
67,04000KR11,05000KR11305,강북구,11090,05000KR11305,2014,A,APT,1241.95434065,875.56864397,6.2620026
68,04000KR11,05000KR11305,강북구,11090,05000KR11305,2015,A,APT,1277.43546054,975.37957815,6.66022824
69,04000KR11,05000KR11305,강북구,11090,05000KR11305,2016,A,APT,1356.83928345,1063.49187946,7.46328636
70,04000KR11,05000KR11305,강북구,11090,05000KR11305,2017,A,APT,1505.61994222,1106.17680254,7.14392247
71,04000KR11,05000KR11305,강북구,11090,05000KR11305,2018,A,APT,1591.25983212,1160.59912846,7.56240617
72,04000KR11,05000KR11320,도봉구,11100,05000KR11320,2011,A,APT,1204.84905348,666.18887792,5.2710443
73,04000KR11,05000KR11320,도봉구,11100,05000KR11320,2012,A,APT,1175.31542965,706.39574141,5.26219247
74,04000KR11,05000KR11320,도봉구,11100,05000KR11320,2013,A,APT,1137.90005702,759.05153489,5.58375977
